video,frames
P04_119,25531
P04_120,25039
P04_121,50797
P04_122,6686
P04_123,39040
P05_01,10973
P05_02,10154
P05_03,30995
P05_04,11653
P05_05,4670
P05_06,9328
P05_07,24056
P05_08,38418
P05_09,12633
P06_01,2713
P06_02,418
P06_03,20582
P06_05,43328
P06_07,31858
P06_08,920
P06_09,40343
P06_10,7289
P06_11,2309
P06_12,5818
P06_13,7211
P06_14,3022
P06_101,55773
P06_102,21997
P06_103,25189
P06_104,4573
P06_105,3232
P06_106,5177
P06_107,8738
P06_108,21861
P06_109,1153
P06_110,2290
P06_111,25532
P06_112,3027
P06_113,9280
P07_01,3274
P07_02,3357
P07_03,7882
P07_04,24756
P07_05,6287
P07_06,4227
P07_07,9942
P07_08,5191
P07_09,10195
P07_10,61811
P07_11,6698
P07_12,7081
P07_13,1820
P07_14,7710
P07_15,3400
P07_16,4892
P07_17,3988
P07_18,1217
P07_101,14433
P07_102,6156
P07_103,1479
P07_104,2909
P07_105,1397
P07_106,486
P07_107,5279
P07_108,9181
P07_109,4342
P07_110,7808
P07_111,3903
P07_112,2620
P07_113,15733
P07_114,5545
P07_115,6372
P07_116,2602
P07_117,11215
P08_01,18463
P08_02,3223
P08_03,4499
P08_04,6157
P08_05,52613
P08_06,14599
P08_07,720
P08_08,4330
P08_09,18615
P08_10,7273
P08_11,5863
P08_12,1012
P08_13,725
P08_14,4558
P08_15,16899
P08_16,17674
P08_17,17583
P08_18,14989
P08_19,4128
P08_20,6224
P08_21,42203
P08_22,3878
P08_23,45924
P08_24,17214
P08_25,649
P08_26,12277
P08_27,5584
P08_28,1024
P09_01,427
P09_02,11091
P09_03,4387
P09_04,3065
P09_05,8031
P09_06,12118
P09_07,1657
P09_08,3794
P09_101,13746
P09_102,10679
P09_103,22308
P09_104,16616
P09_105,4014
P09_106,4481
P10_01,27380
P10_02,36681
P10_03,55273
P10_04,100796
P11_01,5448
P11_02,1083
P11_03,4097
P11_04,8663
P11_05,54643
P11_06,1152
P11_07,796
P11_08,1793
P11_09,10416
P11_10,641
P11_11,1990
P11_12,1501
P11_13,1894
P11_14,824
P11_15,14717
P11_16,10616
P11_17,15644
P11_18,1138
P11_19,2560
P11_20,16787
P11_21,918
P11_22,7058
P11_23,1885
P11_24,2507
P11_101,5522
P11_102,10306
P11_103,6806
P11_104,25852
P11_105,10010
P11_106,22446
P11_107,3772
P11_108,1091
P11_109,6413
P12_01,12352
P12_02,55619
P12_03,43976
P12_04,57368
P12_05,1811
P12_06,5102
P12_07,23538
P12_08,6670
P12_101,61376
P12_102,35708
P12_103,19228
P12_104,34104
P12_105,9589
P13_01,16618
P13_02,2075
P13_03,10507
P13_04,7443
P13_05,11934
P13_06,3342
P13_07,4865
P13_08,73953
P13_09,16229
P13_10,5299
P14_01,3129
P14_02,968
P14_03,600
P14_04,4224
P14_05,2135
P14_06,1936
P14_07,2708
P14_08,11941
P14_09,7598
P15_01,1406
P15_02,20856
P15_03,9908
P15_04,14136
P15_05,3161
P15_06,15105
P15_07,6214
P15_08,16577
P15_09,11589
P15_10,5925
P15_11,825
P15_12,1841
P15_13,28890
P16_01,37293
P16_02,1671
P16_03,6396
P16_04,27895
P17_01,4687
P17_02,16373
P17_03,29321
P17_04,31923
P18_01,4993
P18_02,5712
P18_03,12823
P18_04,6113
P18_05,17827
P18_06,12490
P18_07,7202
P18_08,1995
P18_09,8304
P18_10,4344
P18_11,12305
P18_12,6237
P19_01,23420
P19_02,2205
P19_03,4088
P19_04,27423
P19_05,2380
P19_06,7008
P20_01,41354
P20_02,12846
P20_03,6392
P20_04,67533
P20_05,14015
P20_06,8180
P20_07,3040
P21_01,20788
P21_02,14718
P21_03,17579
P21_04,17078
P22_01,32739
P22_02,15262
P22_03,35639
P22_04,11672
P22_05,37082
P22_06,13338
P22_07,65418
P22_08,27635
P22_09,12805
P22_10,28852
P22_11,12810
P22_12,20567
P22_13,15012
P22_14,21104
P22_15,18270
P22_16,43850
P22_17,39117
P22_101,11006
P22_102,6905
P22_103,23815
P22_104,18940
P22_105,2068
P22_106,15352
P22_107,17431
P22_108,6515
P22_109,60264
P22_110,12160
P22_111,46441
P22_112,11827
P22_113,20470
P22_114,53240
P22_115,14824
P22_116,14884
P22_117,29155
P23_01,2755
P23_02,50047
P23_03,10918
P23_04,67423
P23_05,35067
P23_101,52383
P23_102,107086
P23_103,62982
P24_01,21757
P24_02,24362
P24_03,14686
P24_04,14814
P24_05,48027
P24_06,16989
P24_07,27344
P24_08,45386
P24_09,59058
P25_01,3453
P25_02,7609
P25_03,5450
P25_04,17827
P25_05,44752
P25_06,6219
P25_07,8258
P25_08,4810
P25_09,26289
P25_10,11239
P25_11,11351
P25_12,2881
P25_101,13076
P25_102,14933
P25_103,14863
P25_104,24304
P25_105,46429
P25_106,48595
P25_107,66389
P26_01,2391
P26_02,13941
P26_03,9375
P26_04,4364
P26_05,1363
P26_06,818
P26_07,731
P26_08,1551
P26_09,3665
P26_10,4022
P26_11,2944
P26_12,560
P26_13,3697
P26_14,973
P26_15,1073
P26_16,1952
P26_17,1992
P26_18,13444
P26_19,14160
P26_20,1125
P26_21,13964
P26_22,4206
P26_23,2567
P26_24,1753
P26_25,1180
P26_26,2111
P26_27,840
P26_28,3959
P26_29,1664
P26_30,458
P26_31,2701
P26_32,2453
P26_33,1143
P26_34,3212
P26_35,4932
P26_36,6297
P26_37,1891
P26_38,1744
P26_39,1703
P26_40,2091
P26_41,3502
P26_101,3007
P26_102,5459
P26_103,17984
P26_104,20701
P26_105,14705
P26_106,2654
P26_107,4908
P26_108,5872
P26_109,775
P26_110,7942
P26_111,5167
P26_112,11925
P26_113,2066
P26_114,1726
P26_115,6193
P26_116,6008
P26_117,21374
P26_118,12425
P26_119,20840
P26_120,5934
P26_121,3414
P26_122,9170
P26_123,14094
P26_124,23227
P27_01,8464
P27_02,5441
P27_03,2940
P27_04,9936
P27_05,18462
P27_06,26981
P27_07,28621
P27_101,40806
P27_102,15686
P27_103,73457
P27_104,31599
P27_105,29333
P28_01,10171
P28_02,15191
P28_03,23475
P28_04,13593
P28_05,15713
P28_06,22320
P28_07,3924
P28_08,10107
P28_09,14972
P28_10,1829
P28_11,9848
P28_12,811
P28_13,4496
P28_14,8367
P28_15,2789
P28_16,9401
P28_17,1873
P28_18,3608
P28_19,2698
P28_20,3666
P28_21,1838
P28_22,4404
P28_23,755
P28_24,2048
P28_25,11906
P28_26,3047
P28_101,21531
P28_102,12497
P28_103,54755
P28_104,21580
P28_105,17152
P28_106,5936
P28_107,1466
P28_108,12399
P28_109,6481
P28_110,4070
P28_111,22923
P28_112,10727
P28_113,16135
P28_114,16054
P28_115,25740
P28_116,17300
P28_117,16019
P28_118,9875
P29_01,40514
P29_02,5807
P29_03,62240
P29_04,5388
P29_05,54652
P29_06,5072
P30_01,2246
P30_02,7132
P30_03,15636
P30_04,21301
P30_05,97860
P30_06,12041
P30_07,9163
P30_08,33664
P30_09,13012
P30_10,23777
P30_11,10338
P30_101,18859
P30_102,38272
P30_103,5531
P30_104,9526
P30_105,3166
P30_106,7489
P30_107,89825
P30_108,17259
P30_109,12545
P30_110,7803
P30_111,55208
P30_112,2427
P30_113,10999
P30_114,3670
P31_01,14261
P31_02,6258
P31_03,8232
P31_04,2897
P31_05,14501
P31_06,5623
P31_07,7569
P31_08,25138
P31_09,7647
P31_10,16203
P31_11,7648
P31_12,6174
P31_13,19748
P31_14,9406
P32_01,14846
P32_02,6674
P32_03,7263
P32_04,10948
P32_05,12789
P32_06,17694
P32_07,869
P32_08,5975
P32_09,8446
P32_10,12182
P33_101,25637
P33_102,16782
P33_103,10018
P33_104,22423
P33_105,66287
P33_106,12352
P33_107,19586
P33_108,7059
P33_109,39709
P33_110,17849
P33_111,12976
P34_101,3613
P34_102,15371
P34_103,6640
P34_104,27367
P34_105,2863
P34_106,4467
P34_107,18368
P34_108,1597
P34_109,8703
P34_110,4040
P34_111,16239
P34_112,29303
P34_113,22411
P35_101,11648
P35_102,53219
P35_103,45374
P35_104,100513
P35_105,64448
P35_106,20330
P35_107,49213
P35_108,90452
P35_109,33884
P36_101,21074
P36_102,23815
P37_101,50444
P37_102,20479
P37_103,11854
